Execution beginning
Utils: open the input file 'xinput.txt'
Utils: open succeeded for 'xinput.txt'
File has successfully been read. 
Leave readData. 
Enter doMovingAverage. 
Compute with 'width' and 'tolerance':	5	0.1
	11.89	11.09	11.16	11.07	11.37:	56.58:	11.316	1.0048 
	11.09	11.16	11.07	11.37	11.25:	55.94:	11.188	1.0055 
	11.16	11.07	11.37	11.25	11.14:	55.99:	11.198	0.99482 
	11.07	11.37	11.25	11.14	11.78:	56.61:	11.322	1.0405 
	11.37	11.25	11.14	11.78	11.46:	57:	11.4	1.0053 
	11.25	11.14	11.78	11.46	12.35:	57.98:	11.596	1.065 SELL.
	11.14	11.78	11.46	12.35	12.45:	59.18:	11.836	1.0519 SELL.
	11.78	11.46	12.35	12.45	12.81:	60.85:	12.17	1.0526 SELL.
	11.46	12.35	12.45	12.81	12.93:	62:	12.4	1.0427 
	12.35	12.45	12.81	12.93	12.65:	63.19:	12.638	1.0009 
	12.45	12.81	12.93	12.65	12.22:	63.06:	12.612	0.96892 
	12.81	12.93	12.65	12.22	12.68:	63.29:	12.658	1.0017 
	12.93	12.65	12.22	12.68	12.91:	63.39:	12.678	1.0183 
	12.65	12.22	12.68	12.91	12.25:	62.71:	12.542	0.97672 
	12.22	12.68	12.91	12.25	12.86:	62.92:	12.584	1.0219 
	12.68	12.91	12.25	12.86	11.47:	62.17:	12.434	0.92247 BUY.
	12.91	12.25	12.86	11.47	11.51:	61:	12.2	0.94344 BUY.
	12.25	12.86	11.47	11.51	11.6:	59.69:	11.938	0.97169 
	12.86	11.47	11.51	11.6	11.82:	59.26:	11.852	0.9973 
	11.47	11.51	11.6	11.82	11.76:	58.16:	11.632	1.011 
	11.51	11.6	11.82	11.76	11.46:	58.15:	11.63	0.98538 
	11.6	11.82	11.76	11.46	11.95:	58.59:	11.718	1.0198 
	11.82	11.76	11.46	11.95	11.63:	58.62:	11.724	0.99198 
	11.76	11.46	11.95	11.63	11.44:	58.24:	11.648	0.98214 
	11.46	11.95	11.63	11.44	11.82:	58.3:	11.66	1.0137 
Leave doMovingAverage. 
Enter doMovingAverage. 
Compute with 'width' and 'tolerance':	10	0.1
	10.54	10.47	10.29	10.18	10.15	10.57	10.8	10.03	10.53	10.5:	104.06:	10.406	1.009 
	10.47	10.29	10.18	10.15	10.57	10.8	10.03	10.53	10.5	9.96:	103.48:	10.348	0.9625 
	10.29	10.18	10.15	10.57	10.8	10.03	10.53	10.5	9.96	9.75:	102.76:	10.276	0.94881 
	10.18	10.15	10.57	10.8	10.03	10.53	10.5	9.96	9.75	9.55:	102.02:	10.202	0.93609 
	10.15	10.57	10.8	10.03	10.53	10.5	9.96	9.75	9.55	9.89:	101.73:	10.173	0.97218 
	10.57	10.8	10.03	10.53	10.5	9.96	9.75	9.55	9.89	9.62:	101.2:	10.12	0.95059 
	10.8	10.03	10.53	10.5	9.96	9.75	9.55	9.89	9.62	9.84:	100.47:	10.047	0.9794 
	10.03	10.53	10.5	9.96	9.75	9.55	9.89	9.62	9.84	9.16:	98.83:	9.883	0.92684 
	10.53	10.5	9.96	9.75	9.55	9.89	9.62	9.84	9.16	9.21:	98.01:	9.801	0.9397 
	10.5	9.96	9.75	9.55	9.89	9.62	9.84	9.16	9.21	9.71:	97.19:	9.719	0.99907 
	9.96	9.75	9.55	9.89	9.62	9.84	9.16	9.21	9.71	9.13:	95.82:	9.582	0.95283 
	9.75	9.55	9.89	9.62	9.84	9.16	9.21	9.71	9.13	8.09:	93.95:	9.395	0.8611 BUY.
	9.55	9.89	9.62	9.84	9.16	9.21	9.71	9.13	8.09	8.27:	92.47:	9.247	0.89434 BUY.
	9.89	9.62	9.84	9.16	9.21	9.71	9.13	8.09	8.27	8:	90.92:	9.092	0.87989 BUY.
	9.62	9.84	9.16	9.21	9.71	9.13	8.09	8.27	8	8.41:	89.44:	8.944	0.9403 
	9.84	9.16	9.21	9.71	9.13	8.09	8.27	8	8.41	8.03:	87.85:	8.785	0.91406 
	9.16	9.21	9.71	9.13	8.09	8.27	8	8.41	8.03	8.71:	86.72:	8.672	1.0044 
	9.21	9.71	9.13	8.09	8.27	8	8.41	8.03	8.71	8.94:	86.5:	8.65	1.0335 
	9.71	9.13	8.09	8.27	8	8.41	8.03	8.71	8.94	8.24:	85.53:	8.553	0.9634 
	9.13	8.09	8.27	8	8.41	8.03	8.71	8.94	8.24	8.18:	84:	8.4	0.97381 
	8.09	8.27	8	8.41	8.03	8.71	8.94	8.24	8.18	8.32:	83.19:	8.319	1.0001 
	8.27	8	8.41	8.03	8.71	8.94	8.24	8.18	8.32	7.89:	82.99:	8.299	0.95072 
	8	8.41	8.03	8.71	8.94	8.24	8.18	8.32	7.89	7.65:	82.37:	8.237	0.92874 
	8.41	8.03	8.71	8.94	8.24	8.18	8.32	7.89	7.65	7.15:	81.52:	8.152	0.87709 BUY.
	8.03	8.71	8.94	8.24	8.18	8.32	7.89	7.65	7.15	7.68:	80.79:	8.079	0.95061 
	8.71	8.94	8.24	8.18	8.32	7.89	7.65	7.15	7.68	7.39:	80.15:	8.015	0.92202 
	8.94	8.24	8.18	8.32	7.89	7.65	7.15	7.68	7.39	7.39:	78.83:	7.883	0.93746 
	8.24	8.18	8.32	7.89	7.65	7.15	7.68	7.39	7.39	7.5:	77.39:	7.739	0.96912 
	8.18	8.32	7.89	7.65	7.15	7.68	7.39	7.39	7.5	7.15:	76.3:	7.63	0.93709 
	8.32	7.89	7.65	7.15	7.68	7.39	7.39	7.5	7.15	7.59:	75.71:	7.571	1.0025 
	7.89	7.65	7.15	7.68	7.39	7.39	7.5	7.15	7.59	7.85:	75.24:	7.524	1.0433 
	7.65	7.15	7.68	7.39	7.39	7.5	7.15	7.59	7.85	8.59:	75.94:	7.594	1.1312 SELL.
	7.15	7.68	7.39	7.39	7.5	7.15	7.59	7.85	8.59	8.96:	77.25:	7.725	1.1599 SELL.
	7.68	7.39	7.39	7.5	7.15	7.59	7.85	8.59	8.96	8.56:	78.66:	7.866	1.0882 
	7.39	7.39	7.5	7.15	7.59	7.85	8.59	8.96	8.56	8.15:	79.13:	7.913	1.03 
	7.39	7.5	7.15	7.59	7.85	8.59	8.96	8.56	8.15	8.98:	80.72:	8.072	1.1125 SELL.
	7.5	7.15	7.59	7.85	8.59	8.96	8.56	8.15	8.98	8.41:	81.74:	8.174	1.0289 
	7.15	7.59	7.85	8.59	8.96	8.56	8.15	8.98	8.41	8.14:	82.38:	8.238	0.9881 
	7.59	7.85	8.59	8.96	8.56	8.15	8.98	8.41	8.14	8.56:	83.79:	8.379	1.0216 
	7.85	8.59	8.96	8.56	8.15	8.98	8.41	8.14	8.56	8.25:	84.45:	8.445	0.97691 
	8.59	8.96	8.56	8.15	8.98	8.41	8.14	8.56	8.25	8.49:	85.09:	8.509	0.99777 
	8.96	8.56	8.15	8.98	8.41	8.14	8.56	8.25	8.49	9.46:	85.96:	8.596	1.1005 SELL.
	8.56	8.15	8.98	8.41	8.14	8.56	8.25	8.49	9.46	9.96:	86.96:	8.696	1.1454 SELL.
	8.15	8.98	8.41	8.14	8.56	8.25	8.49	9.46	9.96	9.13:	87.53:	8.753	1.0431 
	8.98	8.41	8.14	8.56	8.25	8.49	9.46	9.96	9.13	9.2:	88.58:	8.858	1.0386 
	8.41	8.14	8.56	8.25	8.49	9.46	9.96	9.13	9.2	9.32:	88.92:	8.892	1.0481 
	8.14	8.56	8.25	8.49	9.46	9.96	9.13	9.2	9.32	9.63:	90.14:	9.014	1.0683 
